# probe report -- machine-debian-trixie-16341
# taken     : 2026-09-03T23:46:30+02:00
# image     : /home/jean/.shared/DEVEL/repos/MARIONNET-dune-project/website-repo/download/marionnet-install.sh/1.0.x/machine-debian-trixie-16341
# sum       : 16341
# candidates: 2060 (BINARY_LIST of the .conf)
# probes    : help-timeout=5s x-timeout=6s x-only=0
# X server  : DISPLAY=:0 vendor string: The X.Org Foundation X.Org version: 21.1.11 
#
# name	verdict	rc	probe	first line of stderr
bzip2	OK	0	help	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
bzip2recover	OK	1	help	bzip2recover 1.0.8: extracts blocks from damaged .bz2 files.
bzless	OK	0	help	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
bzmore	OK	0	help	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
c++	OK	0	help	
c89	OK	0	help	
c89-gcc	OK	0	help	
c99	OK	0	help	
c99-gcc	OK	0	help	
capinfos	OK	0	help	
capsh	OK	0	help	
captoinfo	OK	1	help	/usr/bin/captoinfo: invalid option -- '-'
captype	OK	0	help	
cardos-tool	ERR	2	help	
cargo	OK	0	help	
cat	OK	0	help	
catman	OK	0	help	
cc	OK	0	help	
cfdisk	OK	0	help	
c++filt	OK	0	help	
chacl	OK	1	help	/usr/bin/chacl: invalid option -- '-'
chage	OK	0	help	
chardet	OK	0	help	
chardetect	OK	0	help	
charon-systemd	ERR	66	help	
chat	OK	1	help	Usage: /usr/sbin/chat [-e] [-E] [-v] [-V] [-t timeout] [-r report-file]
chattr	OK	1	help	Usage: /usr/bin/chattr [-RVf] [-+=aAcCdDeijPsStTuFx] [-p project] [-v version] files...
chcon	OK	0	help	
chcpu	OK	0	help	
check_forensic	OK	0	help	
checkgid	ERR	255	help	/usr/bin/checkgid: group '--help' not found
chfn	OK	0	help	
chgpasswd	OK	0	help	
chgrp	OK	0	help	
chmem	OK	1	help	chmem: Failed to read /sys/devices/system/memory: No such file or directory
chmod	OK	0	help	
choom	OK	0	help	
chown	OK	0	help	
chpasswd	OK	0	help	
chronyc	OK	0	help	
chronyd	OK	0	help	
chroot	OK	0	help	
chrt	OK	0	help	
chsh	OK	0	help	
chsh.ldap	OK	0	help	
chvt	OK	0	help	Usage: chvt [option...] N
cifscreds	OK	1	help	/usr/bin/cifscreds: unrecognized option '--help'
cifs.idmap	OK	0	help	Usage: cifs.idmap [-h] [-v] [-t timeout] key_serial
cifsiostat	OK	1	help	Usage: /usr/bin/cifsiostat [ options ] [ <interval> [ <count> ] ]
cifs.upcall	OK	1	help	/usr/sbin/cifs.upcall: unrecognized option '--help'
c-index-test-19	OK	1	help	usage: c-index-test -code-completion-at=<site> <compiler arguments>
ckbcomp	OK	0	help	
cksum	OK	0	help	
clang++-19	OK	0	help	
clang-19	OK	0	help	
clang-apply-replacements-19	OK	0	help	
clang-change-namespace-19	OK	0	help	
clang-check-19	OK	0	help	
clang-cl-19	OK	1	help	clang-cl-19: warning: unknown argument ignored in clang-cl '--help'; did you mean '-help'? [-Wunknown-argument]
clang-cpp-19	OK	0	help	
clang-doc-19	OK	0	help	
clang-extdef-mapping-19	OK	0	help	
clang-include-cleaner-19	OK	0	help	
clang-include-fixer-19	OK	0	help	
clang-installapi-19	OK	1	help	error: no output file specified
clang-linker-wrapper-19	OK	0	help	
clang-move-19	OK	0	help	
clang-nvlink-wrapper-19	OK	0	help	
clang-offload-bundler-19	OK	0	help	
clang-offload-packager-19	OK	0	help	
clang-pseudo-19	OK	0	help	
clang-query-19	OK	0	help	
clang-refactor-19	OK	0	help	
clang-rename-19	OK	0	help	
clang-reorder-fields-19	OK	0	help	
clang-repl-19	OK	0	help	
clang-scan-deps-19	OK	0	help	
clang-tblgen-19	OK	0	help	
clear	OK	1	help	/usr/bin/clear: invalid option -- '-'
clear_console	OK	0	help	Usage: clear_console [option]
clockdiff	OK	0	help	
cmp	OK	0	help	
codepage	OK	0	help	
col	OK	0	help	
colcrt	OK	0	help	
colrm	OK	0	help	
column	OK	0	help	
comm	OK	0	help	
compose	X_DIED	0	x	
compress	OK	1	help	Unknown flag: '-'; Usage: compress [-dfhvcVr] [-b maxbits] [--] [path ...]
compute_av	OK	1	help	usage:  /usr/sbin/compute_av scontext tcontext tclass
compute_create	OK	1	help	usage:  /usr/sbin/compute_create scontext tcontext tclass [objname]
compute_member	OK	1	help	usage:  /usr/sbin/compute_member scontext tcontext tclass
compute_relabel	OK	1	help	usage:  /usr/sbin/compute_relabel scontext tcontext tclass
corelist	OK	1	help	
count-19	OK	0	help	
cp	OK	0	help	
cpan	ERR	25	help	/usr/bin/cpan version 1.64 calling Getopt::Std::getopts (version 1.14 [paranoid]),
cpan5.40-x86_64-linux-gnu	ERR	25	help	/usr/bin/cpan5.40-x86_64-linux-gnu version 1.64 calling Getopt::Std::getopts (version 1.14 [paranoid]),
cpio	OK	0	help	
cpp	OK	0	help	
cpp-14	OK	0	help	
Crack	OK	1	help	Crack: unrecognised argument --help
cracklib-check	OK	0	help	
cracklib-format	OK	0	help	
cracklib-packer	OK	0	version	
cracklib-unpacker	ERR	255	help	--help.pwd: No such file or directory
Crack-Reporter	OK	0	help	cat: 'run/D*': No such file or directory
cramfsswap	OK	1	help	Usage: /usr/bin/cramfsswap <in> <out>
create-cracklib-dict	OK	0	help	
c_rehash	OK	1	help	Usage error; try -h.
cron	OK	1	help	/usr/sbin/cron: invalid option -- '-'
crontab	OK	1	help	/usr/bin/crontab: invalid option -- '-'
cryptoflex-tool	ERR	2	help	/usr/bin/cryptoflex-tool: unrecognized option '--help'
csh	OK	0	help	
csplit	OK	0	help	
ctags	OK	0	help	
ctags.emacs	OK	0	help	
ctstat	OK	0	help	/usr/bin/ctstat Version 6.15.0
curl	OK	0	help	
curlftpfs	OK	1	help	usage: /usr/bin/curlftpfs <ftphost> <mountpoint>
cut	OK	0	help	
cvtsudoers	OK	0	help	
dash	ERR	2	help	/usr/bin/dash: 0: Illegal option --
date	OK	0	help	
dbus-cleanup-sockets	OK	0	help	dbus-cleanup-sockets [--version] [--help] <socketdir>
